operation,family,group,precision_variant,patch_size,num_platform_pairs,observations,exact_equal_count,allclose_count,divergent_count,same_shape_count,mean_fraction_unequal,median_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,mean_num_unequal,max_num_unequal,total_num_unequal,total_num_elements,exact_equal_rate,allclose_rate,divergent_rate,same_shape_rate,global_unequal_element_rate
tanh_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.2167118,0.355857,0.358897,7.947285970052083e-08,1.1920928955078125e-07,1.4942336459612445e-07,2.2254941932405509e-07,216711.8,358897,6501354,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.2167118
tanh_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.21634066666666665,0.355256,0.35818,7.947285970052083e-08,1.1920928955078125e-07,1.4939970577587783e-07,2.2251208129345383e-07,216340.66666666666,358180,6490220,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.21634066666666665
exp_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.18679773333333333,0.300848,0.30188,5.594889322916666e-06,7.62939453125e-06,1.159771512401884e-07,1.6692905131382346e-07,186797.73333333334,301880,5603932,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.18679773333333333
exp_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.18611013333333334,0.299666,0.300827,5.086263020833333e-06,7.62939453125e-06,1.1621456306402458e-07,1.6725845495671268e-07,186110.13333333333,300827,5583304,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.18611013333333334
softplus_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.16379866666666668,0.265786,0.266764,3.178914388020833e-07,4.76837158203125e-07,1.514905209512905e-07,2.2004386134288149e-07,163798.66666666666,266764,4913960,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.16379866666666668
softplus_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.163192,0.2648,0.26581,3.178914388020833e-07,4.76837158203125e-07,1.5162642006685387e-07,2.2019319089989984e-07,163192.0,265810,4895760,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.163192
arctan_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.15381253333333333,0.23856,0.243392,8.742014567057291e-08,1.1920928955078125e-07,8.74193503543734e-08,1.1920883480516509e-07,153812.53333333333,243392,4614376,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.15381253333333333
arctan_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.15368306666666667,0.238658,0.242956,8.742014567057291e-08,1.1920928955078125e-07,8.741994056125963e-08,1.1920921849655003e-07,153683.06666666668,242956,4610492,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.15368306666666667
arcsin_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.10850220000000001,0.180823,0.180829,8.742014567057291e-08,1.1920928955078125e-07,8.717028215069457e-08,1.1920927533992823e-07,108502.2,180829,3255066,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.1085022
arcsin_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.10829333333333334,0.180476,0.180478,8.742014567057291e-08,1.1920928955078125e-07,8.731874820203196e-08,1.192067174415759e-07,108293.33333333333,180478,3248800,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.10829333333333334
erf_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.1075114,0.169929,0.178671,4.3710072835286455e-08,5.960464477539063e-08,8.741928971180803e-08,1.1920815269324595e-07,107511.4,178671,3225342,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.1075114
erf_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.107108,0.169423,0.178004,4.3710072835286455e-08,5.960464477539063e-08,8.741849974597906e-08,1.192092611290786e-07,107108.0,178004,3213240,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.107108
arccos_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.05422420000000001,0.090365,0.090371,1.7484029134114582e-07,2.384185791015625e-07,8.726366212511828e-08,1.1920610640432423e-07,54224.2,90371,1626726,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.0542242
arccos_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.053871,0.089777,0.089779,1.7484029134114582e-07,2.384185791015625e-07,8.729723893363816e-08,1.1920855059091679e-07,53871.0,89779,1616130,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.053871
log_a,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.03786246666666667,0.031936,0.077681,6.993611653645833e-07,9.5367431640625e-07,8.741761105080435e-08,1.1920894849124387e-07,37862.46666666667,77681,1135874,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.037862466666666664
log_b,transcendental_nonlinear,transcendental_nonlinear,fp32,,30,30,8,8,22,30,0.0377136,0.031879,0.077168,6.993611653645833e-07,9.5367431640625e-07,8.741984013836449e-08,1.1920901954515322e-07,37713.6,77168,1131408,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.0377136
pow_pos_a_1p5,power_like,elementwise_arithmetic,fp32,,30,30,8,8,22,30,0.03703973333333333,0.061732,0.061733,5.80151875813802e-07,9.5367431640625e-07,8.222457174845752e-08,1.192092327073895e-07,37039.73333333333,61733,1111192,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.03703973333333333
cumsum_b_fp64,global_cumulative,global_reduction_cumulative,fp64,,30,30,8,8,22,30,0.018094933333333334,0.028672,0.033344,4.168517383125921e-14,5.684341886080802e-14,2.140506271662177e-11,3.5673040780232486e-11,18094.933333333334,33344,542848,30000000,0.26666666666666666,0.26666666666666666,0.7333333333333333,1.0,0.018094933333333334
norm_a,global_reduction,global_reduction_cumulative,fp32,,30,30,12,12,18,30,0.6,1.0,1.0,0.00633544921875,0.01055908203125,6.338389583308343e-06,1.0564038437711834e-05,0.6,1,18,30,0.4,0.4,0.6,1.0,0.6
norm_b,global_reduction,global_reduction_cumulative,fp32,,30,30,12,12,18,30,0.6,1.0,1.0,0.00633544921875,0.01055908203125,6.333243754922337e-06,1.055546196650453e-05,0.6,1,18,30,0.4,0.4,0.6,1.0,0.6
var_b,global_reduction,global_reduction_cumulative,fp32,,30,30,12,12,18,30,0.6,1.0,1.0,7.152557373046875e-08,1.1920928955078125e-07,7.147503445543405e-08,1.1912506452111308e-07,0.6,1,18,30,0.4,0.4,0.6,1.0,0.6
cumsum_a,global_cumulative,global_reduction_cumulative,fp32,,30,30,12,12,18,30,0.563925,0.939875,0.939875,0.0002197265625,0.0003662109375,0.05941588190268146,0.10391762898317834,563925.0,939875,16917750,30000000,0.4,0.4,0.6,1.0,0.563925
cumsum_b,global_cumulative,global_reduction_cumulative,fp32,,30,30,12,12,18,30,0.48882600000000004,0.81471,0.81471,0.000439453125,0.000732421875,0.05367391651538881,0.09344978961307211,488826.0,814710,14664780,30000000,0.4,0.4,0.6,1.0,0.488826
patch_mean_d_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.43225499999999994,0.720425,0.720425,1.0728836059570313e-07,1.7881393432617188e-07,0.031325636594721845,0.05357137725365427,17290.2,28817,518706,1200000,0.4,0.4,0.6,1.0,0.432255
patch_mean_mul_ab_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.430845,0.718075,0.718075,1.0728836059570313e-07,1.7881393432617188e-07,0.0009026496278411536,0.0015055476795819615,17233.8,28723,517014,1200000,0.4,0.4,0.6,1.0,0.430845
patch_mean_a_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.43078500000000003,0.717975,0.717975,1.0728836059570313e-07,1.7881393432617188e-07,0.0015056471021614602,0.0025125604058627007,17231.4,28719,516942,1200000,0.4,0.4,0.6,1.0,0.430785
patch_mean_b_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.429345,0.715575,0.715575,7.152557373046875e-08,1.1920928955078125e-07,0.002905583358138378,0.004854364437391164,17173.8,28623,515214,1200000,0.4,0.4,0.6,1.0,0.429345
patch_mean_c_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.42873,0.71455,0.71455,7.152557373046875e-08,1.1920928955078125e-07,0.001036526417774159,0.0017290362326974076,17149.2,28582,514476,1200000,0.4,0.4,0.6,1.0,0.42873
patch_mean_mul_cd_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.42729,0.71215,0.71215,1.0728836059570313e-07,1.7881393432617188e-07,0.0014759804603130095,0.002462993149165353,17091.6,28486,512748,1200000,0.4,0.4,0.6,1.0,0.42729
patch_sum_d_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.40330499999999997,0.672175,0.672175,2.288818359375e-06,3.814697265625e-06,0.031325665859564165,0.05357142857142857,16132.2,26887,483966,1200000,0.4,0.4,0.6,1.0,0.403305
patch_sum_a_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.40194,0.6699,0.6699,2.288818359375e-06,3.814697265625e-06,0.0015056485434692258,0.002512562814070352,16077.6,26796,482328,1200000,0.4,0.4,0.6,1.0,0.40194
patch_sum_mul_ab_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.40134000000000003,0.6689,0.6689,2.288818359375e-06,3.814697265625e-06,0.0009026633661806653,0.0015055706112616681,16053.6,26756,481608,1200000,0.4,0.4,0.6,1.0,0.40134
patch_sum_c_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.40083,0.66805,0.66805,1.71661376953125e-06,2.86102294921875e-06,0.0010365685822585834,0.001729106628242075,16033.2,26722,480996,1200000,0.4,0.4,0.6,1.0,0.40083
patch_sum_b_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.40080000000000005,0.668,0.668,2.288818359375e-06,3.814697265625e-06,0.0029055860419304907,0.0048543689320388345,16032.0,26720,480960,1200000,0.4,0.4,0.6,1.0,0.4008
patch_sum_mul_cd_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.39972,0.6662,0.6662,2.86102294921875e-06,4.76837158203125e-06,0.0014760169932583726,0.0024630541871921183,15988.8,26648,479664,1200000,0.4,0.4,0.6,1.0,0.39972
patch_norm_l1_mul_cd_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.36483000000000004,0.60805,0.60805,4.57763671875e-06,7.62939453125e-06,2.2658660757590863e-07,3.7764441726747376e-07,14593.2,24322,437796,1200000,0.4,0.4,0.6,1.0,0.36483
patch_norm_l1_mul_ab_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.3612,0.602,0.602,4.57763671875e-06,7.62939453125e-06,2.5872295213238505e-07,4.3120501318948336e-07,14448.0,24080,433440,1200000,0.4,0.4,0.6,1.0,0.3612
patch_norm_l1_c_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.35113500000000003,0.585225,0.585225,4.57763671875e-06,7.62939453125e-06,2.454921503885016e-07,4.0915366768416365e-07,14045.4,23409,421362,1200000,0.4,0.4,0.6,1.0,0.351135
patch_norm_l1_b_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.35031,0.58385,0.58385,4.57763671875e-06,7.62939453125e-06,2.3627249424898897e-07,3.9378756794927543e-07,14012.4,23354,420372,1200000,0.4,0.4,0.6,1.0,0.35031
patch_norm_l1_d_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.34945499999999996,0.582425,0.582425,4.57763671875e-06,7.62939453125e-06,2.2047078596733588e-07,3.674513774557924e-07,13978.2,23297,419346,1200000,0.4,0.4,0.6,1.0,0.349455
patch_norm_l1_a_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.349005,0.581675,0.581675,4.57763671875e-06,7.62939453125e-06,2.2044235432435162e-07,3.67403991366741e-07,13960.2,23267,418806,1200000,0.4,0.4,0.6,1.0,0.349005
patch_mean_c_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.3311715311715312,0.551952551952552,0.551952551952552,1.430511474609375e-07,2.384185791015625e-07,0.009114414939110157,0.015306063464960235,36796.8,61328,1103904,3333330,0.4,0.4,0.6,1.0,0.3311715311715312
patch_mean_a_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.33096093096093093,0.5516015516015516,0.5516015516015516,1.430511474609375e-07,2.384185791015625e-07,0.0005873895783771674,0.0009794618340093306,36773.4,61289,1103202,3333330,0.4,0.4,0.6,1.0,0.330960930960931
patch_mean_d_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.3304965304965305,0.5508275508275509,0.5508275508275509,1.430511474609375e-07,2.384185791015625e-07,0.0027586248173592357,0.004608277432635565,36721.8,61203,1101654,3333330,0.4,0.4,0.6,1.0,0.3304965304965305
patch_mean_b_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.32934632934632935,0.5489105489105489,0.5489105489105489,1.430511474609375e-07,2.384185791015625e-07,0.0005206233540504703,0.0008680820465087891,36594.0,60990,1097820,3333330,0.4,0.4,0.6,1.0,0.32934632934632935
patch_mean_mul_cd_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.32864972864972863,0.5477495477495478,0.5477495477495478,1.430511474609375e-07,2.384185791015625e-07,0.05383928417543676,0.09374999720603236,36516.6,60861,1095498,3333330,0.4,0.4,0.6,1.0,0.32864972864972863
patch_mean_mul_ab_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.32696492696492696,0.5449415449415449,0.5449415449415449,1.430511474609375e-07,2.384185791015625e-07,0.00228571390900735,0.0038167793887885202,36329.4,60549,1089882,3333330,0.4,0.4,0.6,1.0,0.32696492696492696
patch_sum_c_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.3178767178767179,0.5297945297945298,0.5297945297945298,1.1444091796875e-06,1.9073486328125e-06,0.009114449800020512,0.015306122448979591,35319.6,58866,1059588,3333330,0.4,0.4,0.6,1.0,0.3178767178767179
patch_sum_a_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.3173799173799174,0.528966528966529,0.528966528966529,1.1444091796875e-06,1.9073486328125e-06,0.0005873716532082625,0.0009794319294809011,35264.4,58774,1057932,3333330,0.4,0.4,0.6,1.0,0.3173799173799174
patch_var_mul_cd_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.31712611712611716,0.5285435285435286,0.5285435285435286,1.1444091796875e-06,1.9073486328125e-06,1.887098512911378e-07,3.1451646827885186e-07,35236.2,58727,1057086,3333330,0.4,0.4,0.6,1.0,0.3171261171261171
patch_sum_d_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.317023517023517,0.5283725283725283,0.5283725283725283,1.1444091796875e-06,1.9073486328125e-06,0.0027586352682534986,0.004608294930875576,35224.8,58708,1056744,3333330,0.4,0.4,0.6,1.0,0.317023517023517
patch_sum_mul_cd_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.3167697167697168,0.527949527949528,0.527949527949528,1.1444091796875e-06,1.9073486328125e-06,0.053839285714285715,0.09375,35196.6,58661,1055898,3333330,0.4,0.4,0.6,1.0,0.31676971676971677
patch_sum_b_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.3165969165969166,0.5276615276615276,0.5276615276615276,1.1444091796875e-06,1.9073486328125e-06,0.0005206074732581671,0.0008680555555555555,35177.4,58629,1055322,3333330,0.4,0.4,0.6,1.0,0.3165969165969166
patch_var_mul_ab_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.31599211599211596,0.5266535266535266,0.5266535266535266,2.288818359375e-06,3.814697265625e-06,1.8817085851229758e-07,3.1361814669865154e-07,35110.2,58517,1053306,3333330,0.4,0.4,0.6,1.0,0.315992115992116
patch_sum_mul_ab_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.3144585144585144,0.5240975240975241,0.5240975240975241,1.1444091796875e-06,1.9073486328125e-06,0.0022857225785853194,0.003816793893129771,34939.8,58233,1048194,3333330,0.4,0.4,0.6,1.0,0.31445851445851447
patch_var_b_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.31336771336771335,0.5222795222795222,0.5222795222795222,4.291534423828125e-07,7.152557373046875e-07,1.8975985605576834e-07,3.1626647677184023e-07,34818.6,58031,1044558,3333330,0.4,0.4,0.6,1.0,0.31336771336771335
patch_var_c_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.31324351324351324,0.5220725220725221,0.5220725220725221,5.7220458984375e-07,9.5367431640625e-07,2.1117950263590804e-07,3.519658996664888e-07,34804.8,58008,1044144,3333330,0.4,0.4,0.6,1.0,0.31324351324351324
patch_var_a_9,patch_reduction,patch_based,fp32,9.0,30,30,12,12,18,30,0.31324351324351324,0.5220725220725221,0.5220725220725221,2.86102294921875e-07,4.76837158203125e-07,2.0086392690874717e-07,3.347732675511302e-07,34804.8,58008,1044144,3333330,0.4,0.4,0.6,1.0,0.31324351324351324
patch_var_mul_cd_25,patch_reduction,patch_based,fp32,25.0,30,30,12,12,18,30,0.3126749999999999,0.521125,0.521125,5.7220458984375e-07,9.5367431640625e-07,1.670543487657709e-07,2.784239533695563e-07,12507.0,20845,375210,1200000,0.4,0.4,0.6,1.0,0.312675
