patch_size,family,operation,precision_variant,observations,exact_equal_count,divergent_count,mean_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,total_num_unequal,total_num_elements,exact_equal_rate,divergent_rate,global_unequal_element_rate
9.0,patch_reduction,patch_mean_mul_ab_9,fp32,18,0,18,0.5449415449415449,0.5449415449415449,2.384185791015625e-07,2.384185791015625e-07,0.0038095231816789163,0.0038167793887885202,1089882,1999998,0.0,1.0,0.5449415449415449
9.0,patch_reduction,patch_mean_mul_cd_9,fp32,18,0,18,0.5477495477495478,0.5477495477495478,2.384185791015625e-07,2.384185791015625e-07,0.0897321402923946,0.09374999720603236,1095498,1999998,0.0,1.0,0.5477495477495478
9.0,patch_reduction,patch_norm_l1_a_9,fp32,18,0,18,0.4486594486594487,0.4486594486594487,2.86102294921875e-06,2.86102294921875e-06,2.68564462520827e-07,2.6856449858426223e-07,897318,1999998,0.0,1.0,0.4486594486594487
9.0,patch_reduction,patch_norm_l1_b_9,fp32,18,0,18,0.45084645084645086,0.45084645084645086,2.86102294921875e-06,2.86102294921875e-06,2.7921996180736835e-07,2.792200007892619e-07,901692,1999998,0.0,1.0,0.45084645084645086
9.0,patch_reduction,patch_norm_l1_c_9,fp32,18,0,18,0.4457524457524457,0.44575244575244577,2.86102294921875e-06,2.86102294921875e-06,2.94187862779608e-07,2.9418790605285733e-07,891504,1999998,0.0,1.0,0.44575244575244577
9.0,patch_reduction,patch_norm_l1_d_9,fp32,18,0,18,0.44722844722844723,0.44722844722844723,2.86102294921875e-06,2.86102294921875e-06,2.682889563277944e-07,2.6828899231727644e-07,894456,1999998,0.0,1.0,0.44722844722844723
9.0,patch_reduction,patch_norm_l1_mul_ab_9,fp32,18,0,18,0.45279045279045277,0.45279045279045277,2.86102294921875e-06,2.86102294921875e-06,2.935931371625608e-07,2.9359318026102587e-07,905580,1999998,0.0,1.0,0.45279045279045277
9.0,patch_reduction,patch_norm_l1_mul_cd_9,fp32,18,0,18,0.45102645102645095,0.451026451026451,2.86102294921875e-06,2.86102294921875e-06,2.5062971760839994e-07,2.506297490160276e-07,902052,1999998,0.0,1.0,0.451026451026451
9.0,patch_reduction,patch_norm_l2_a_9,fp32,18,0,18,0.2538182538182538,0.2538182538182538,4.76837158203125e-07,4.76837158203125e-07,1.9335197890916797e-07,1.9335199760166183e-07,507636,1999998,0.0,1.0,0.2538182538182538
9.0,patch_reduction,patch_norm_l2_b_9,fp32,18,0,18,0.2573732573732574,0.2573732573732574,4.76837158203125e-07,4.76837158203125e-07,2.0363705970486073e-07,2.0363708043888677e-07,514746,1999998,0.0,1.0,0.2573732573732574
9.0,patch_reduction,patch_norm_l2_c_9,fp32,18,0,18,0.2554922554922555,0.2554922554922555,9.5367431640625e-07,9.5367431640625e-07,2.140557343337181e-07,2.1405575724364682e-07,510984,1999998,0.0,1.0,0.2554922554922555
9.0,patch_reduction,patch_norm_l2_d_9,fp32,18,0,18,0.2566982566982567,0.2566982566982567,4.76837158203125e-07,4.76837158203125e-07,2.1655023422254046e-07,2.1655025766954243e-07,513396,1999998,0.0,1.0,0.2566982566982567
9.0,patch_reduction,patch_norm_l2_mul_ab_9,fp32,18,0,18,0.25617625617625617,0.25617625617625617,9.5367431640625e-07,9.5367431640625e-07,2.1074886659259782e-07,2.107488888001402e-07,512352,1999998,0.0,1.0,0.25617625617625617
9.0,patch_reduction,patch_norm_l2_mul_cd_9,fp32,18,0,18,0.25307125307125306,0.25307125307125306,9.5367431640625e-07,9.5367431640625e-07,2.2290773781859644e-07,2.2290776266252623e-07,506142,1999998,0.0,1.0,0.25307125307125306
9.0,patch_reduction,patch_std_a_9,fp32,18,0,18,0.31873531873531874,0.31873531873531874,2.384185791015625e-07,2.384185791015625e-07,2.2903748713811662e-07,2.2903751336720188e-07,637470,1999998,0.0,1.0,0.31873531873531874
9.0,patch_reduction,patch_std_b_9,fp32,18,0,18,0.31842931842931843,0.31842931842931843,2.384185791015625e-07,2.384185791015625e-07,2.2258288068322537e-07,2.2258290545479475e-07,636858,1999998,0.0,1.0,0.31842931842931843
9.0,patch_reduction,patch_std_c_9,fp32,18,0,18,0.31804231804231803,0.31804231804231803,2.384185791015625e-07,2.384185791015625e-07,2.1577624262571456e-07,2.15776265905408e-07,636084,1999998,0.0,1.0,0.31804231804231803
9.0,patch_reduction,patch_std_d_9,fp32,18,0,18,0.31576531576531575,0.31576531576531575,2.384185791015625e-07,2.384185791015625e-07,2.336375176995054e-07,2.3363754499275023e-07,631530,1999998,0.0,1.0,0.31576531576531575
9.0,patch_reduction,patch_std_mul_ab_9,fp32,18,0,18,0.3201483201483202,0.3201483201483202,4.76837158203125e-07,4.76837158203125e-07,2.283378976176281e-07,2.2833792368672585e-07,640296,1999998,0.0,1.0,0.3201483201483202
9.0,patch_reduction,patch_std_mul_cd_9,fp32,18,0,18,0.32146232146232145,0.32146232146232145,4.76837158203125e-07,4.76837158203125e-07,2.110742200279908e-07,2.1107424230415397e-07,642924,1999998,0.0,1.0,0.32146232146232145
9.0,patch_reduction,patch_sum_a_9,fp32,18,0,18,0.528966528966529,0.528966528966529,1.9073486328125e-06,1.9073486328125e-06,0.000978952755347104,0.0009794319294809011,1057932,1999998,0.0,1.0,0.528966528966529
9.0,patch_reduction,patch_sum_b_9,fp32,18,0,18,0.5276615276615276,0.5276615276615276,1.9073486328125e-06,1.9073486328125e-06,0.0008676791220969452,0.0008680555555555555,1055322,1999998,0.0,1.0,0.5276615276615276
9.0,patch_reduction,patch_sum_c_9,fp32,18,0,18,0.5297945297945298,0.5297945297945298,1.9073486328125e-06,1.9073486328125e-06,0.015190749666700852,0.015306122448979591,1059588,1999998,0.0,1.0,0.5297945297945298
