patch_size,family,operation,precision_variant,observations,exact_equal_count,divergent_count,mean_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,total_num_unequal,total_num_elements,exact_equal_rate,divergent_rate,global_unequal_element_rate
9.0,patch_reduction,patch_sum_fp64_mul_cd_9,fp64,30,12,18,5.400005400005401e-06,9.000009000009e-06,1.3322676295501878e-16,2.220446049250313e-16,2.200422371355433e-16,3.6673706189257223e-16,18,3333330,0.4,0.6,5.4000054000054e-06
9.0,patch_reduction,patch_sum_mul_ab_9,fp32,30,12,18,0.3144585144585144,0.5240975240975241,1.1444091796875e-06,1.9073486328125e-06,0.0022857225785853194,0.003816793893129771,1048194,3333330,0.4,0.6,0.31445851445851447
9.0,patch_reduction,patch_sum_mul_cd_9,fp32,30,12,18,0.3167697167697168,0.527949527949528,1.1444091796875e-06,1.9073486328125e-06,0.053839285714285715,0.09375,1055898,3333330,0.4,0.6,0.31676971676971677
9.0,patch_reduction,patch_var_a_9,fp32,30,12,18,0.31324351324351324,0.5220725220725221,2.86102294921875e-07,4.76837158203125e-07,2.0086392690874717e-07,3.347732675511302e-07,1044144,3333330,0.4,0.6,0.31324351324351324
9.0,patch_reduction,patch_var_b_9,fp32,30,12,18,0.31336771336771335,0.5222795222795222,4.291534423828125e-07,7.152557373046875e-07,1.8975985605576834e-07,3.1626647677184023e-07,1044558,3333330,0.4,0.6,0.31336771336771335
9.0,patch_reduction,patch_var_c_9,fp32,30,12,18,0.31324351324351324,0.5220725220725221,5.7220458984375e-07,9.5367431640625e-07,2.1117950263590804e-07,3.519658996664888e-07,1044144,3333330,0.4,0.6,0.31324351324351324
9.0,patch_reduction,patch_var_d_9,fp32,30,12,18,0.3120609120609121,0.5201015201015201,4.291534423828125e-07,7.152557373046875e-07,2.012170164088621e-07,3.3536175024850306e-07,1040202,3333330,0.4,0.6,0.3120609120609121
9.0,patch_reduction,patch_var_mul_ab_9,fp32,30,12,18,0.31599211599211596,0.5266535266535266,2.288818359375e-06,3.814697265625e-06,1.8817085851229758e-07,3.1361814669865154e-07,1053306,3333330,0.4,0.6,0.315992115992116
9.0,patch_reduction,patch_var_mul_cd_9,fp32,30,12,18,0.31712611712611716,0.5285435285435286,1.1444091796875e-06,1.9073486328125e-06,1.887098512911378e-07,3.1451646827885186e-07,1057086,3333330,0.4,0.6,0.3171261171261171
9.0,patch_cumulative,patch_cumsum_fp64_a_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_b_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_c_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_d_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_mul_ab_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_cumulative,patch_cumsum_fp64_mul_cd_9,fp64,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,a_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,a_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,b_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,b_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,c_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,c_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,d_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,d_trim_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
9.0,patch_preparation,mul_ab_reshape_patch_9,fp32,30,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0,29999970,1.0,0.0,0.0
